Date,Actual_PnL,Historical_VaR_95,Historical_VaR_99,VC_VaR_95,VC_VaR_99,MC_VaR_95,MC_VaR_99,Hist_Breach_95,VC_Breach_95,MC_Breach_95,Hist_Breach_99,VC_Breach_99,MC_Breach_99
2025-10-07,-1636.210454072301,18881.04008947379,37604.487193460365,22274.231221151396,31874.15444048354,22585.784491738486,31124.355835987906,False,False,False,False,False,False
2025-10-08,2505.2138770318643,18881.04008947379,37604.487193460365,22164.41248450648,31740.74886518502,22458.249708243562,30984.177610798903,False,False,False,False,False,False
2025-10-09,-3609.312514580214,18881.04008947379,37604.487193460365,22171.86515943052,31746.518674301227,22470.69879136427,30948.84874540887,False,False,False,False,False,False
2025-10-10,-29559.939113238615,18881.04008947379,37604.487193460365,22210.916919633462,31777.07273132896,22513.525174369024,31033.686632610825,True,True,True,False,False,False
2025-10-13,14002.05194318055,20085.170641393197,37604.487193460365,22549.683038341336,32205.36840398366,22860.358459099865,31479.378301990993,False,False,False,False,False,False
2025-10-14,-7109.460180435134,20085.170641393197,37604.487193460365,22554.634240126037,32219.004827966302,22858.408039707923,31474.01753618905,False,False,False,False,False,False
2025-10-15,2583.939047324457,20085.170641393197,37604.487193460365,22612.048425565416,32281.056599269956,22928.93014945589,31502.267966147774,False,False,False,False,False,False
2025-10-16,-9807.894280215802,20085.170641393197,37604.487193460365,22600.780224870443,32270.004089465412,22909.68280109412,31536.40128371836,False,False,False,False,False,False
2025-10-17,6624.581368769899,20085.170641393197,37604.487193460365,22650.956995503024,32329.58142976725,22955.639868590813,31596.932181109918,False,False,False,False,False,False
2025-10-20,19839.558995068728,20085.170641393197,37604.487193460365,22639.116360823,32321.00928923208,22947.635131816925,31554.273563395418,False,False,False,False,False,False
2025-10-21,2513.6887419822006,20085.170641393197,37604.487193460365,22662.176416633603,32376.25911083948,22996.90223052229,31637.61426315879,False,False,False,False,False,False
2025-10-22,-7117.071524850114,20085.170641393197,37604.487193460365,22653.44860032685,32367.781611974773,22978.71916077346,31607.864223352175,False,False,False,False,False,False
2025-10-23,6151.905002143742,20085.170641393197,37604.487193460365,22711.730564113866,32430.484575115785,23046.5662333313,31662.958741288352,False,False,False,False,False,False
2025-10-24,10689.028014866553,20085.170641393197,37604.487193460365,22587.804247863714,32288.50577340576,22912.733728763546,31519.279944783983,False,False,False,False,False,False
2025-10-27,14750.003739378772,20085.170641393197,37604.487193460365,22575.78600405594,32285.635520767013,22902.728359682787,31527.44638565765,False,False,False,False,False,False
2025-10-28,4816.715635841484,20085.170641393197,37604.487193460365,22566.67679838065,32294.94692236124,22895.015328618763,31522.5453228987,False,False,False,False,False,False
2025-10-29,3502.755515273553,20085.170641393197,37604.487193460365,22566.548833951398,32294.862021561967,22893.442210611352,31522.220217674523,False,False,False,False,False,False
2025-10-30,-8638.009550224973,20085.170641393197,37604.487193460365,22555.925344227573,32284.85893508512,22881.604089560526,31553.03168884124,False,False,False,False,False,False
2025-10-31,16416.54415205193,20085.170641393197,37604.487193460365,22602.71921114746,32339.692098305637,22947.382922327717,31595.262043080293,False,False,False,False,False,False
2025-11-03,4393.719795883259,18881.04008947379,37604.487193460365,22363.867169942743,32067.558253586827,22625.632468982913,31387.302506104188,False,False,False,False,False,False
2025-11-04,-2928.0247386223045,18881.04008947379,37604.487193460365,22369.97332822962,32069.48853863055,22619.94366852517,31321.991937740284,False,False,False,False,False,False
2025-11-05,-307.0373741070383,18881.04008947379,37604.487193460365,22374.428330073762,32074.484552283346,22620.64314160025,31293.183471588007,False,False,False,False,False,False
2025-11-06,-6911.229064180191,18881.04008947379,37604.487193460365,22397.229937203734,32091.563464612784,22643.020614850568,31310.43370130621,False,False,False,False,False,False
2025-11-07,3664.6611072989053,18881.04008947379,37604.487193460365,22302.2698055442,31887.023357498907,22589.048547924456,31205.441845109795,False,False,False,False,False,False
2025-11-10,10386.770971135193,18881.04008947379,37604.487193460365,22299.427647503344,31884.62765525156,22567.33177169899,31238.497210787482,False,False,False,False,False,False
2025-11-11,9016.208380091228,18881.04008947379,37604.487193460365,22265.413339619394,31858.205295909735,22531.01022229964,31211.213535682753,False,False,False,False,False,False
2025-11-12,-4192.295757464836,18881.04008947379,37604.487193460365,22214.147036046088,31809.50253189485,22478.19358590003,31167.486270585654,False,False,False,False,False,False
2025-11-13,-14267.574515060523,18881.04008947379,37604.487193460365,22250.543598176722,31847.602242463934,22519.817184169093,31217.53407661237,False,False,False,False,False,False
2025-11-14,-2817.5384020258443,18881.04008947379,37604.487193460365,22381.79381615323,31993.576361976786,22675.550519831588,31354.53903112153,False,False,False,False,False,False
2025-11-17,-11952.031920726531,18881.04008947379,37604.487193460365,22406.915952471252,32019.51834872738,22706.313808333463,31368.14746459198,False,False,False,False,False,False
2025-11-18,-11853.500526021602,18881.04008947379,37604.487193460365,22368.45777895101,31971.022584420374,22652.26866692398,31334.291075038833,False,False,False,False,False,False
2025-11-19,-182.69902648966868,18881.04008947379,37604.487193460365,22467.82836785776,32084.574624623547,22742.32053550341,31443.75323184679,False,False,False,False,False,False
2025-11-20,-13611.78938368318,18881.04008947379,37604.487193460365,22469.837138417046,32086.64580070658,22748.362763481728,31455.403781562865,False,False,False,False,False,False
2025-11-21,7031.202696775874,18881.04008947379,37604.487193460365,22565.969466095055,32202.260254851448,22835.990216195012,31560.179529107183,False,False,False,False,False,False
2025-11-24,9122.98789931818,18881.04008947379,37604.487193460365,22545.301771164763,32185.344082012518,22846.385538185332,31561.63228446677,False,False,False,False,False,False
2025-11-25,6551.392522384236,18881.04008947379,37604.487193460365,22540.849320063266,32186.00057993174,22842.293824782526,31569.6114601553,False,False,False,False,False,False
2025-11-26,6263.576581359265,18881.04008947379,37604.487193460365,22542.285986613555,32185.447871060736,22856.412112787348,31571.130956321398,False,False,False,False,False,False
2025-11-28,11999.462885146628,18881.04008947379,37604.487193460365,22544.38299693696,32182.678692878213,22858.89739310699,31558.550257517512,False,False,False,False,False,False
2025-12-01,1792.943723335177,18881.04008947379,37604.487193460365,22501.502678092056,32149.370329409234,22817.30312915871,31524.208235846283,False,False,False,False,False,False
2025-12-02,2459.9016825429976,18881.04008947379,37604.487193460365,22511.627066077883,32157.300743151172,22819.72592324827,31556.811932254554,False,False,False,False,False,False
2025-12-03,-1728.0705228984732,18881.04008947379,37604.487193460365,22518.88330566208,32162.83252508529,22830.749516621454,31566.43748648898,False,False,False,False,False,False
2025-12-04,-3776.912421687306,18881.04008947379,37604.487193460365,22543.210582253894,32185.908399922457,22865.859159661803,31581.440423236043,False,False,False,False,False,False
2025-12-05,-2400.6314284617747,18881.04008947379,37604.487193460365,22569.077216983977,32213.663740359396,22870.20971114774,31661.84818530451,False,False,False,False,False,False
2025-12-08,-1430.7805179402333,18881.04008947379,37604.487193460365,22598.87408681407,32241.259599188805,22900.37330272846,31691.628560340792,False,False,False,False,False,False
2025-12-09,-5944.365882955694,18881.04008947379,37604.487193460365,22622.80765308858,32262.95730208234,22955.24426226514,31708.66961130132,False,False,False,False,False,False
2025-12-10,9040.899913350055,18881.04008947379,37604.487193460365,22660.932953719202,32305.244695210684,22917.416333786256,31727.35262168125,False,False,False,False,False,False
2025-12-11,4126.246245659781,18881.04008947379,37604.487193460365,22633.27860575787,32283.897286705596,22871.750462730986,31684.80116597,False,False,False,False,False,False
2025-12-12,-5000.189049161237,18881.04008947379,37604.487193460365,22634.263054800595,32284.574584531725,22889.55389330258,31688.546943185414,False,False,False,False,False,False
2025-12-15,-9282.107921551686,18881.04008947379,37604.487193460365,22657.465289629148,32310.623776028988,22913.530742051655,31712.785698781037,False,False,False,False,False,False
2025-12-16,-5655.64645376131,18881.04008947379,37604.487193460365,22693.310230491745,32353.408906796943,22937.416763487105,31762.014611155893,False,False,False,False,False,False
2025-12-17,-1060.7902112122983,18881.04008947379,37604.487193460365,22742.630650322168,32403.40066828776,23013.277224688365,31812.056609824493,False,False,False,False,False,False
2025-12-18,5456.097985540004,18881.04008947379,37604.487193460365,22750.23607416192,32411.261886649405,23042.60191794985,31795.6868325992,False,False,False,False,False,False
2025-12-19,5636.006523840209,17458.02059054296,37604.487193460365,22390.97302120267,31962.192249500324,22682.919136755423,31344.53285925604,False,False,False,False,False,False
2025-12-22,3265.688672891021,17458.02059054296,37604.487193460365,22390.667802839627,31962.053826556097,22687.24755582202,31347.389680810804,False,False,False,False,False,False
2025-12-23,8754.575779236338,17458.02059054296,37604.487193460365,22397.737786613987,31958.485247481927,22676.426240107972,31345.812313686238,False,False,False,False,False,False
2025-12-24,3901.3232324105916,17458.02059054296,37604.487193460365,22385.11870442131,31952.07343772044,22666.952766868562,31329.632485655253,False,False,False,False,False,False
2025-12-26,-1327.9396711373126,17458.02059054296,37604.487193460365,22390.05144236732,31945.918027957992,22674.08142230224,31325.969613977148,False,False,False,False,False,False
2025-12-29,-928.6555819138732,17458.02059054296,37604.487193460365,22394.442669145905,31950.587841548764,22681.104974135633,31331.83623629116,False,False,False,False,False,False
2025-12-30,136.8711343716966,17458.02059054296,37604.487193460365,22321.51830457842,31864.32163253515,22613.25802273075,31253.196019233725,False,False,False,False,False,False
2025-12-31,-5546.732002165794,17458.02059054296,37604.487193460365,22247.37197891738,31777.420338807824,22534.890211469727,31166.514930547306,False,False,False,False,False,False
2026-01-02,-3090.8336315213674,17458.02059054296,37604.487193460365,22268.459638518147,31801.576271684124,22551.510744477993,31218.352094934606,False,False,False,False,False,False
2026-01-05,10187.03904173925,17458.02059054296,37604.487193460365,22231.975788276388,31758.566193084967,22528.961719325238,31067.757261893552,False,False,False,False,False,False
2026-01-06,-863.3665329398572,17458.02059054296,37604.487193460365,22231.94706671468,31761.79521066685,22521.05301682732,31034.44595668627,False,False,False,False,False,False
2026-01-07,-7970.250260660592,17458.02059054296,37604.487193460365,22252.749210810012,31780.628635134755,22519.55919563094,31055.90759644175,False,False,False,False,False,False
2026-01-08,8074.69494046993,17458.02059054296,37604.487193460365,22261.637563630615,31791.32270230329,22542.189066218874,31014.44552029058,False,False,False,False,False,False
2026-01-09,3345.2106944116267,17458.02059054296,37604.487193460365,22236.56864577647,31771.139438135433,22535.735667946934,30926.899841618175,False,False,False,False,False,False
2026-01-12,-3928.7713302241796,17458.02059054296,37604.487193460365,22101.962477322482,31611.687110951414,22408.223754893785,30774.483829185912,False,False,False,False,False,False
2026-01-13,-9605.213005539494,17458.02059054296,37604.487193460365,22134.867161768645,31646.21397324678,22443.015400769604,30797.29024459059,False,False,False,False,False,False
2026-01-14,-7366.547363799737,17458.02059054296,37604.487193460365,22201.452746815703,31723.409407980762,22493.91371736214,30903.28413696406,False,False,False,False,False,False
2026-01-15,-1944.363321383163,17458.02059054296,37604.487193460365,22231.53391049776,31718.49922941683,22495.652249807008,30851.749085494805,False,False,False,False,False,False
2026-01-16,1685.4247817109647,17458.02059054296,37604.487193460365,22135.111266628635,31601.893355506803,22420.971014761777,30716.29319425043,False,False,False,False,False,False
2026-01-20,-24469.615358084535,17458.02059054296,37604.487193460365,22142.873536783154,31592.7743484206,22407.221033478618,30708.98172384957,True,True,True,False,False,False
2026-01-21,1147.5016055516426,18881.04008947379,37604.487193460365,22371.10727355119,31881.125953002116,22649.67339342793,30967.292664448487,False,False,False,False,False,False
2026-01-22,6928.764044515012,18881.04008947379,37604.487193460365,22385.745200163346,31889.19252233554,22683.739979149523,31000.080379232455,False,False,False,False,False,False
2026-01-23,6263.3128009381135,18881.04008947379,37604.487193460365,22379.611911512457,31886.187160200294,22669.954385138968,30987.285644501793,False,False,False,False,False,False
2026-01-26,11774.766460317587,18881.04008947379,37604.487193460365,22331.965763361688,31838.159896630386,22626.02483269376,30928.343307691735,False,False,False,False,False,False
2026-01-27,13624.560483131441,18881.04008947379,37604.487193460365,22333.62112391085,31844.00967649701,22628.508757184656,30923.869792339567,False,False,False,False,False,False
2026-01-28,-2034.4330482002233,18881.04008947379,37604.487193460365,22328.06971341706,31832.692326620596,22620.33272747901,30914.093211380547,False,False,False,False,False,False
2026-01-29,-6939.0895269924595,18881.04008947379,37604.487193460365,22334.65669485808,31839.79695656734,22626.36498972074,30923.78094689681,False,False,False,False,False,False
2026-01-30,-1123.2129485706455,18881.04008947379,37604.487193460365,22299.40326947438,31796.76625054577,22555.09436702336,30973.877673039795,False,False,False,False,False,False
2026-02-02,11109.650459033102,18881.04008947379,37604.487193460365,22284.55721590728,31780.264337987377,22556.12990857389,30960.965783459164,False,False,False,False,False,False
2026-02-03,1662.0922786490296,18881.04008947379,37604.487193460365,22181.05029615312,31671.961618007164,22483.050541606266,30752.768915545075,False,False,False,False,False,False
2026-02-04,9737.707462920931,18881.04008947379,37604.487193460365,22184.274255030567,31653.410192145162,22468.58048048036,30769.867176462438,False,False,False,False,False,False
2026-02-05,-22918.84532924965,18881.04008947379,37604.487193460365,22148.29644072739,31623.980154995777,22437.64599259775,30658.668905324623,True,True,True,False,False,False
2026-02-06,5081.992257064659,20085.170641393197,37604.487193460365,22390.142380636138,31916.536072690647,22665.962757979814,31032.70794122033,False,False,False,False,False,False
2026-02-09,1627.2848103675349,20085.170641393197,37604.487193460365,22224.694047944155,31720.203539231094,22456.654577472465,30809.041583823648,False,False,False,False,False,False
2026-02-10,-4828.0576778101895,20085.170641393197,37604.487193460365,22232.168422866354,31726.583327201533,22480.48234896259,30827.572755908313,False,False,False,False,False,False
2026-02-11,-4777.775346975671,20085.170641393197,37604.487193460365,22277.97232784918,31767.120861597894,22537.359278969223,30829.497522079986,False,False,False,False,False,False
2026-02-12,-30052.08890991577,20085.170641393197,37604.487193460365,22289.663893642482,31780.483725273818,22496.93613325022,30958.218063826298,True,True,True,False,False,False
2026-02-13,-9365.959594182272,21469.733987407915,37604.487193460365,22649.88480247044,32224.515542055506,22870.972971909498,31469.21639899613,False,False,False,False,False,False
2026-02-17,10951.751277760299,21469.733987407915,37604.487193460365,22717.102191943442,32300.873401886878,22931.545827354097,31554.033261339915,False,False,False,False,False,False
2026-02-18,10870.645895098573,21469.733987407915,37604.487193460365,22711.257907724572,32304.837636275915,22972.326654877696,31653.2437009159,False,False,False,False,False,False
2026-02-19,-4480.771333629457,21469.733987407915,37604.487193460365,22700.855695941686,32304.711571276726,22992.14595263746,31501.31253994359,False,False,False,False,False,False
2026-02-20,7380.200291146893,21469.733987407915,37604.487193460365,22676.12185258707,32275.470454914663,22978.36420755706,31488.61506857829,False,False,False,False,False,False
2026-02-23,-12510.020179151683,21469.733987407915,37604.487193460365,22567.514058790173,32154.85002611801,22836.822580215558,31504.677997733746,False,False,False,False,False,False
2026-02-24,9949.15500011579,21469.733987407915,37604.487193460365,22632.741382025448,32234.052803510964,22920.136438374928,31606.831795910995,False,False,False,False,False,False
